Gene	Annotation_En	Isolates_En
group_5166	Acetyltransferase	63
ctaD	Cytochrome c oxidase subunit 1	63
group_5169	hypothetical protein	63
mupP	Phosphoglycolate phosphatase	63
group_5182	hypothetical protein	63
bdlA_1	Biofilm dispersion protein BdlA	63
mmgC_2	Acyl-CoA dehydrogenase	63
caiD	Carnitinyl-CoA dehydratase	63
cssS	hypothetical protein	63
pleD_1	hypothetical protein	63
group_5194	hypothetical protein	63
group_5195	Cyclic di-GMP binding protein	63
elfC	hypothetical protein	63
sprT_1	hypothetical protein	63
fliI_1	Flagellum-specific ATP synthase	63
group_5201	hypothetical protein	63
fliN_1	hypothetical protein	63
group_5207	hypothetical protein	63
lafL	Flagellar protein LafL	63
lafU	Chemotaxis protein LafU	63
group_5216	hypothetical protein	63
group_5217	hypothetical protein	63
dacA_2	D-alanyl-D-alanine carboxypeptidase DacA	63
nagE_1	PTS system N-acetylglucosamine-specific EIICBA component	63
group_5231	hypothetical protein	63
mdtG	Multidrug resistance protein MdtG	63
rpfG	hypothetical protein	63
mdh_2	hypothetical protein	63
ndhI	Ion-translocating oxidoreductase complex subunit B	63
group_5258	hypothetical protein	63
atoS_3	Adaptive-response sensory-kinase SasA	63
group_5261	hypothetical protein	63
dgcC_2	hypothetical protein	63
ribC	Riboflavin synthase	63
pal_2	Peptidoglycan-associated lipoprotein	63
ywqD	hypothetical protein	63
group_5270	D-inositol-3-phosphate glycosyltransferase	63
group_5275	Glycine betaine/proline/choline/ectoine transporter	63
group_5277	hypothetical protein	63
group_5279	hypothetical protein	63
mmsB_1	3-hydroxyisobutyrate dehydrogenase	63
yciH	putative protein YciH	63
cutA	Divalent-cation tolerance protein CutA	63
group_5285	hypothetical protein	63
group_5289	hypothetical protein	63
acpH	Acyl carrier protein phosphodiesterase	63
rhaS_2	HTH-type transcriptional activator RhaS	63
group_5299	Sodium-dependent dicarboxylate transporter SdcS	63
opuAA	Glycine betaine transport ATP-binding protein OpuAA	63
rsgA_2	Small ribosomal subunit biogenesis GTPase RsgA	63
group_5302	hypothetical protein	63
trpS	Tryptophan--tRNA ligase	63
yihI	Der GTPase-activating protein YihI	63
group_5343	hypothetical protein	63
group_535	hypothetical protein	63
pdeR_1	hypothetical protein	63
ppsA	Phosphoenolpyruvate synthase	63
ansB	L-asparaginase 2	63
tetD	HTH-type transcriptional activator RhaS	63
group_5361	hypothetical protein	63
rstA	Transcriptional regulatory protein RstA	63
group_5364	putative oxidoreductase	63
dsbA_1	Thiol:disulfide interchange protein DsbA	63
mgtE_1	Magnesium transporter MgtE	63
group_5370	hypothetical protein	63
gap2	Glyceraldehyde-3-phosphate dehydrogenase-like protein	63
group_5375	hypothetical protein	63
group_5377	hypothetical protein	63
group_5378	hypothetical protein	63
phaB	Acetoacetyl-CoA reductase	63
ompA_1	Outer membrane protein A	63
soxR	Redox-sensitive transcriptional activator SoxR	63
ompV	Outer membrane protein OmpV	63
gcvA_2	Glycine cleavage system transcriptional activator	63
pncA	hypothetical protein	63
csqR	HTH-type transcriptional repressor CsqR	63
groS_1	10 kDa chaperonin	63
flgJ_1	hypothetical protein	63
group_5402	hypothetical protein	63
pcpR_1	HTH-type transcriptional regulator YidZ	63
ompA_3	Outer membrane protein A	63
group_5407	hypothetical protein	63
vdcA	Diguanylate cyclase VdcA	63
prsD	Type I secretion system ATP-binding protein PrsD	63
ltxA_1	hypothetical protein	63
yiaV_1	Inner membrane protein YiaV	63
nnr	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	63
zntR_1	HTH-type transcriptional regulator ZntR	63
group_5435	hypothetical protein	63
group_5437	hypothetical protein	63
yclN	Petrobactin import system permease protein YclN	63
group_5456	hypothetical protein	63
minD_1	hypothetical protein	63
group_5459	hypothetical protein	63
pcpR_2	PCP degradation transcriptional activation protein	63
dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	63
mltA	Membrane-bound lytic murein transglycosylase A	63
ampG	Anhydromuropeptide permease	63
nqrA	Na( )-translocating NADH-quinone reductase subunit A	63
group_5470	hypothetical protein	63
dinB	DNA polymerase IV	63
greA_1	hypothetical protein	63
trmO	tRNA (adenine(37)-N6)-methyltransferase	63
aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	63
ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	63
fkpB	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase	63
yfiC	tRNA1(Val) (adenine(37)-N6)-methyltransferase	63
ung	Uracil-DNA glycosylase	63
group_5492	hypothetical protein	63
group_5493	hypothetical protein	63
group_5505	hypothetical protein	63
diaA	DnaA initiator-associating protein DiaA	63
group_5507	hypothetical protein	63
kcsA	hypothetical protein	63
folK_1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	63
catD	3-oxoadipate enol-lactonase 2	63
tsaD	tRNA N6-adenosine threonylcarbamoyltransferase	63
dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	63
group_5519	hypothetical protein	63
mltD_2	hypothetical protein	63
panC	Pantothenate synthetase	63
lpxL_2	Lipid A biosynthesis lauroyltransferase	63
oadG	oxaloacetate decarboxylase gamma chain	63
group_5542	Multidrug resistance protein MdtA	63
group_5546	hypothetical protein	63
ubiJ_1	Ubiquinone biosynthesis accessory factor UbiJ	63
group_5553	Macrolide export ATP-binding/permease protein MacB	63
macA_2	Macrolide export protein MacA	63
group_5557	hypothetical protein	63
pqiB	Intermembrane transport protein PqiB	63
group_5560	hypothetical protein	63
pabC	Aminodeoxychorismate lyase	63
btuR	Corrinoid adenosyltransferase	63
group_5574	hypothetical protein	63
ubiC	Chorismate pyruvate-lyase	63
glpE_3	Thiosulfate sulfurtransferase GlpE	63
group_5581	hypothetical protein	63
gap3	Glyceraldehyde-3-phosphate dehydrogenase 3	63
group_5583	hypothetical protein	63
hemD	Uroporphyrinogen-III synthase	63
group_5588	hypothetical protein	63
group_5591	hypothetical protein	63
msbA_1	Vitamin B12 import ATP-binding protein BtuD	63
hupR1	Hydrogenase transcriptional regulatory protein hupR1	63
tfoX1_1	DNA transformation protein TfoX1	63
lysO	Lysine exporter LysO	63
fabV_2	Enoyl-[acyl-carrier-protein] reductase [NADH]	63
fadE_1	Acyl-coenzyme A dehydrogenase	63
mprA_2	Response regulator MprA	63
lptG	Lipopolysaccharide export system permease protein LptG	63
pepA	Cytosol aminopeptidase	63
tyrR	Transcriptional regulatory protein TyrR	63
pabB	Aminodeoxychorismate synthase component 1	63
group_5629	hypothetical protein	63
queD	6-carboxy-5,6,7,8-tetrahydropterin synthase	63
dinG_3	3'-5' exonuclease DinG	63
gloC	Hydroxyacylglutathione hydrolase GloC	63
group_5642	hypothetical protein	63
nrfB	Cytochrome c-type protein NrfB	63
ltxA_2	hypothetical protein	63
cusR	Transcriptional regulatory protein CusR	63
group_5669	hypothetical protein	63
group_5677	hypothetical protein	63
group_5678	hypothetical protein	63
aat	Leucyl/phenylalanyl-tRNA--protein transferase	63
group_5698	hypothetical protein	63
group_570	hypothetical protein	63
iga	hypothetical protein	63
group_5705	hypothetical protein	63
acrE	Multidrug export protein AcrE	63
manA_1	Mannose-6-phosphate isomerase	63
bioC	Malonyl-[acyl-carrier protein] O-methyltransferase	63
hisG	ATP phosphoribosyltransferase	63
yeeZ	Protein YeeZ	63
torA	Trimethylamine-N-oxide reductase	63
group_5730	hypothetical protein	63
fliM	hypothetical protein	63
fliR_2	Flagellar biosynthetic protein FliR	63
flhA_2	Flagellar biosynthesis protein FlhA	63
doeB_2	N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase	63
abgT_2	p-aminobenzoyl-glutamate transport protein	63
dnaJ	Chaperone protein DnaJ	63
mepA_3	Penicillin-insensitive murein endopeptidase	63
group_5767	hypothetical protein	63
group_5770	Riboflavin biosynthesis protein	63
group_5772	hypothetical protein	63
gltR	HTH-type transcriptional regulator HdfR	63
alkA	putative bifunctional transcriptional activator/DNA repair enzyme AlkA	63
yeeO_3	putative FMN/FAD exporter YeeO	63
dmlR_1	HTH-type transcriptional regulator DmlR	63
ybiV	Sugar phosphatase YbiV	63
dgcN_1	hypothetical protein	63
ftsN	Cell division protein FtsN	63
group_5788	hypothetical protein	63
dbpA	ATP-dependent RNA helicase DbpA	63
msrA	Peptide methionine sulfoxide reductase MsrA	63
lplT	Lysophospholipid transporter LplT	63
group_5798	hypothetical protein	63
menC	o-succinylbenzoate synthase	63
menH_2	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	63
group_5802	hypothetical protein	63
lon_2	Lon protease	63
dctB_2	C4-dicarboxylate transport sensor protein DctB	63
dctD_4	C4-dicarboxylate transport transcriptional regulatory protein DctD	63
ispB	Octaprenyl diphosphate synthase	63
group_5826	hypothetical protein	63
rseA	Anti-sigma-E factor RseA	63
ubiI	2-octaprenylphenol hydroxylase	63
group_5833	hypothetical protein	63
sprT	Protein SprT	63
group_5839	hypothetical protein	63
group_5847	hypothetical protein	63
cntI	Pseudopaline exporter CntI	63
group_5854	hypothetical protein	63
rarD_1	Protein RarD	63
ribD_1	Riboflavin biosynthesis protein RibD	63
group_5866	hypothetical protein	63
rhaS_3	HTH-type transcriptional activator RhaS	63
uvrD	DNA helicase II	63
group_5874	hypothetical protein	63
yiaD_2	Peptidoglycan-associated lipoprotein	63
group_5878	hypothetical protein	63
group_5880	hypothetical protein	63
yejM_2	Inner membrane protein YejM	63
topB	DNA topoisomerase 3	63
group_589	hypothetical protein	63
dmlR_13	HTH-type transcriptional regulator DmlR	63
epmC	Elongation factor P hydroxylase	63
sigE_2	ECF RNA polymerase sigma factor SigE	63
pucG	(S)-ureidoglycine--glyoxylate transaminase	63
yrdA	Protein YrdA	63
group_5903	hypothetical protein	63
fmt	Methionyl-tRNA formyltransferase	63
spo0M_2	Sporulation-control protein spo0M	63
yihG	putative acyltransferase YihG	63
rsmG	Ribosomal RNA small subunit methyltransferase G	63
mioC	Protein MioC	63
ibpA	Small heat shock protein IbpA	63
trkH	Trk system potassium uptake protein TrkH	63
maeB	NADP-dependent malic enzyme	63
group_5927	hypothetical protein	63
nrdG	Anaerobic ribonucleoside-triphosphate reductase-activating protein	63
yeeO_1	putative FMN/FAD exporter YeeO	63
cadC	Transcriptional activator CadC	63
bepC_1	Outer membrane efflux protein BepC	63
group_5947	hypothetical protein	63
ydaF_1	Putative ribosomal N-acetyltransferase YdaF	63
group_5951	hypothetical protein	63
group_5959	hypothetical protein	63
rimK	Ribosomal protein S6--L-glutamate ligase	63
yliI	Aldose sugar dehydrogenase YliI	63
pgpA	Phosphatidylglycerophosphatase A	63
dxs	1-deoxy-D-xylulose-5-phosphate synthase	63
queF	NADPH-dependent 7-cyano-7-deazaguanine reductase	63
treB	PTS system trehalose-specific EIIBC component	63
group_5998	hypothetical protein	63
mrdA	Peptidoglycan D,D-transpeptidase MrdA	63
cpxR_1	Transcriptional regulatory protein CpxR	63
group_6003	hypothetical protein	63
mcpQ_3	hypothetical protein	63
group_6012	hypothetical protein	63
uhpC_1	Membrane sensor protein UhpC	63
cadC_1	hypothetical protein	63
glnS	Glutamine--tRNA ligase	63
gltA	Citrate synthase	63
sucA	2-oxoglutarate dehydrogenase E1 component	63
sucC	Succinate--CoA ligase [ADP-forming] subunit beta	63
rluA	Dual-specificity RNA pseudouridine synthase RluA	63
slyB	Outer membrane lipoprotein SlyB	63
pspF	Psp operon transcriptional activator	63
eamB	hypothetical protein	63
group_607	hypothetical protein	63
hupR1_2	hypothetical protein	63
priC	Primosomal replication protein N''	63
pleD_3	hypothetical protein	63
group_6089	hypothetical protein	63
group_611	hypothetical protein	63
hpcD	hypothetical protein	63
group_6118	hypothetical protein	63
group_612	hypothetical protein	63
dsdC_2	HTH-type transcriptional regulator ArgP	63
group_6125	hypothetical protein	63
ykoD	Putative HMP/thiamine import ATP-binding protein YkoD	63
group_6147	hypothetical protein	63
group_620	hypothetical protein	63
pqiC	Intermembrane transport lipoprotein PqiC	63
group_6242	hypothetical protein	63
dtpA	Dipeptide and tripeptide permease A	63
group_633	hypothetical protein	63
group_6348	hypothetical protein	63
group_6366	Monocarboxylate 2-oxoacid-binding periplasmic protein	63
aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	63
serC	Phosphoserine aminotransferase	63
group_6428	hypothetical protein	63
glcB	Malate synthase G	63
group_6459	hypothetical protein	63
gtf1	hypothetical protein	63
rodZ	Cytoskeleton protein RodZ	63
fhuA	Ferrichrome outer membrane transporter/phage receptor	63
manP_3	hypothetical protein	63
curA	NADPH-dependent curcumin reductase	63
group_6577	hypothetical protein	63
ptk	hypothetical protein	63
group_6581	hypothetical protein	63
czrA	hypothetical protein	63
ybhF	putative multidrug ABC transporter ATP-binding protein YbhF	63
btr	HTH-type transcriptional activator RhaS	63
pgcA	Phosphoglucomutase	63
ctaC	hypothetical protein	63
fklB_1	hypothetical protein	63
group_6601	hypothetical protein	63
phhA	Phenylalanine-4-hydroxylase	63
group_6604	hypothetical protein	63
group_6611	hypothetical protein	63
yeiR	Zinc-binding GTPase YeiR	63
rhlE_3	ATP-dependent RNA helicase RhlE	63
hutG_1	Formimidoylglutamase	63
modF	ABC transporter ATP-binding protein ModF	63
zntR_2	HTH-type transcriptional regulator ZntR	63
mmsB_2	3-hydroxyisobutyrate dehydrogenase	63
artP	Arginine transport ATP-binding protein ArtP	63
ltaE	Low specificity L-threonine aldolase	63
group_6628	ADP-ribose pyrophosphatase	63
lutP	L-lactate permease	63
group_6632	hypothetical protein	63
cefD	Isopenicillin N epimerase	63
group_6635	hypothetical protein	63
fliH_1	hypothetical protein	63
fliP	Flagellar biosynthetic protein FliP	63
lafS	RNA polymerase sigma factor for flagellar operon	63
mdtL_1	Multidrug resistance protein MdtL	63
group_6642	DNA-binding protein	63
group_6643	hypothetical protein	63
group_6644	hypothetical protein	63
sstT	Serine/threonine transporter SstT	63
esiB	hypothetical protein	63
fecE	Fe(3 ) dicitrate transport ATP-binding protein FecE	63
group_6655	hypothetical protein	63
group_6656	hypothetical protein	63
mepS	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase	63
group_6682	putative ketoamine kinase	63
tuaA	hypothetical protein	63
ompA_7	Outer membrane protein A	63
group_6685	hypothetical protein	63
group_6688	hypothetical protein	63
ddl	D-alanine--D-alanine ligase	63
group_6690	hypothetical protein	63
group_6691	Arylesterase	63
menI	1,4-dihydroxy-2-naphthoyl-CoA hydrolase	63
pdeD	putative cyclic di-GMP phosphodiesterase PdeD	63
mcpQ_1	hypothetical protein	63
polC_2	DNA polymerase III PolC-type	63
dsbD_2	Thiol:disulfide interchange protein DsbD	63
dcuA	Anaerobic C4-dicarboxylate transporter DcuA	63
group_6703	hypothetical protein	63
trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	63
groS_2	10 kDa chaperonin	63
bsrV_2	Broad specificity amino-acid racemase	63
epmB	L-lysine 2,3-aminomutase	63
hfq	RNA-binding protein Hfq	63
purA_2	Adenylosuccinate synthetase	63
group_6720	hypothetical protein	63
slyX	Protein SlyX 	63
group_6723	hypothetical protein	63
group_6745	hypothetical protein	63
group_6747	hypothetical protein	63
pckA	Phosphoenolpyruvate carboxykinase (ATP)	63
hslO	33 kDa chaperonin	63
epsH	Type II secretion system protein H	63
xcpV	Type II secretion system protein I	63
epsL	Type II secretion system protein L	63
oppF_3	Oligopeptide transport ATP-binding protein OppF	63
group_6765	hypothetical protein	63
bepF_2	Efflux pump periplasmic linker BepF	63
group_6767	hypothetical protein	63
dgkA_1	Diacylglycerol kinase	63
group_6773	hypothetical protein	63
group_6774	hypothetical protein	63
group_6775	hypothetical protein	63
codA	Cytosine deaminase	63
rhtC_1	Threonine efflux protein	63
narQ	Nitrate/nitrite sensor protein NarQ	63
group_6788	hypothetical protein	63
ompA_2	Outer membrane protein A	63
group_6792	hypothetical protein	63
group_6794	hypothetical protein	63
group_6795	hypothetical protein	63
nhaP2_1	K( )/H( ) antiporter NhaP2	63
flgB_1	Flagellar basal body rod protein FlgB	63
macA_1	Macrolide export protein MacA	63
yjjG	Pyrimidine 5'-nucleotidase YjjG	63
group_6805	hypothetical protein	63
group_6807	hypothetical protein	63
lhgD	L-2-hydroxyglutarate dehydrogenase	63
dctM_1	hypothetical protein	63
group_6811	hypothetical protein	63
group_6813	hypothetical protein	63
bluR	hypothetical protein	63
group_6816	hypothetical protein	63
rfnT	Riboflavin transporter RfnT	63
talB	Transaldolase B	63
group_6820	hypothetical protein	63
group_6821	hypothetical protein	63
cheB_1	Protein-glutamate methylesterase/protein-glutamine glutaminase	63
ccpA	Cytochrome c551 peroxidase	63
group_6837	hypothetical protein	63
rbsD	D-ribose pyranase	63
yclQ	Petrobactin-binding protein YclQ	63
gspK_2	Glucosamine kinase GspK	63
group_6844	hypothetical protein	63
czcB	p-hydroxybenzoic acid efflux pump subunit AaeA	63
mepM_2	Murein DD-endopeptidase MepM	63
deoC	Deoxyribose-phosphate aldolase	63
deoD1	Purine nucleoside phosphorylase DeoD-type 1	63
pulD	Type 3 secretion system secretin	63
lacR	HTH-type transcriptional repressor MelR	63
cysL_4	HTH-type transcriptional regulator HdfR	63
group_6866	hypothetical protein	63
group_6867	hypothetical protein	63
group_6868	hypothetical protein	63
bamD	Outer membrane protein assembly factor BamD	63
group_687	hypothetical protein	63
trpR	Trp operon repressor	63
lspA	Lipoprotein signal peptidase	63
murJ	putative lipid II flippase MurJ	63
nhaR	Transcriptional activator protein NhaR	63
group_6875	hypothetical protein	63
lgt	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	63
group_6878	hypothetical protein	63
fldB	Flavodoxin 2	63
grcA	Autonomous glycyl radical cofactor	63
gltD_2	Glutamate synthase [NADPH] small chain	63
murC	UDP-N-acetylmuramate--L-alanine ligase	63
ftsW	putative peptidoglycan glycosyltransferase FtsW	63
rsmI	Ribosomal RNA small subunit methyltransferase I	63
pip	Proline iminopeptidase	63
group_6890	hypothetical protein	63
cdsA	Phosphatidate cytidylyltransferase	63
lpxA	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	63
petJ	Cytochrome c6	63
group_6899	hypothetical protein	63
group_6900	hypothetical protein	63
yfgD	putative protein YfgD	63
group_6903	hypothetical protein	63
yfeZ	hypothetical protein	63
sfsA	Sugar fermentation stimulation protein A	63
pdhR	Pyruvate dehydrogenase complex repressor	63
nadC	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	63
zapD	Cell division protein ZapD	63
rplS	50S ribosomal protein L19	63
group_6912	2-haloacrylate reductase	63
pyrH_2	Aspartate kinase	63
nlpD	Murein hydrolase activator NlpD	63
ftsB	Cell division protein FtsB	63
pyrG	CTP synthase	63
group_6921	putative HTH-type transcriptional regulator	63
group_6922	hypothetical protein	63
mdtJ	Spermidine export protein MdtJ	63
gntK	Thermoresistant gluconokinase	63
rsmJ	Ribosomal RNA small subunit methyltransferase J	63
group_6934	hypothetical protein	63
group_6935	hypothetical protein	63
ubiB_2	putative protein kinase UbiB	63
tatB	Sec-independent protein translocase protein TatB	63
ttrR_2	Tetrathionate response regulatory protein TtrR	63
ihfB	Integration host factor subunit beta	63
sohB	putative protease SohB	63
cheV_3	Chemotaxis protein CheV	63
ycfH	putative metal-dependent hydrolase YcfH	63
tmk	Thymidylate kinase	63
dsbB	Disulfide bond formation protein B	63
ackA_2	Acetate kinase	63
moaE	Molybdopterin synthase catalytic subunit	63
rnfB	Ion-translocating oxidoreductase complex subunit B	63
fabR	HTH-type transcriptional repressor FabR	63
ubiA	4-hydroxybenzoate octaprenyltransferase	63
ftsX	Cell division protein FtsX	63
group_6970	hypothetical protein	63
group_6971	hypothetical protein	63
wecH	O-acetyltransferase WecH	63
arsR2	Arsenic resistance transcriptional regulator ArsR2	63
pldB	Lysophospholipase L2	63
group_6976	hypothetical protein	63
cydD	ATP-binding/permease protein CydD	63
group_6982	hypothetical protein	63
group_6983	hypothetical protein	63
group_6984	hypothetical protein	63
phoQ	Virulence sensor histidine kinase PhoQ	63
ttrS_1	Tetrathionate sensor histidine kinase TtrS	63
ascG	HTH-type transcriptional regulator AscG	63
group_6990	hypothetical protein	63
pyrI	Aspartate carbamoyltransferase regulatory chain	63
mlaB	hypothetical protein	63
group_6994	hypothetical protein	63
mcpP_4	hypothetical protein	63
aspC	Aspartate aminotransferase	63
hrp1_1	hypothetical protein	63
nreB	hypothetical protein	63
dctM_3	C4-dicarboxylate TRAP transporter large permease protein DctM	63
irpA	hypothetical protein	63
nrfA	Cytochrome c-552	63
pncC_1	Nicotinamide-nucleotide amidohydrolase PncC	63
group_7007	hypothetical protein	63
group_7009	hypothetical protein	63
yciV	5'-3' exoribonuclease	63
trpC	Tryptophan biosynthesis protein TrpCF	63
yciB	putative intracellular septation protein A	63
flgL_2	hypothetical protein	63
group_7014	hypothetical protein	63
ybaK_2	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	63
ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	63
prs	Ribose-phosphate pyrophosphokinase	63
inhA	Isonitrile hydratase	63
cmoB	tRNA U34 carboxymethyltransferase	63
ruvA	Holliday junction ATP-dependent DNA helicase RuvA	63
group_7035	hypothetical protein	63
ybgC	Acyl-CoA thioester hydrolase YbgC	63
bioD1	ATP-dependent dethiobiotin synthetase BioD 1	63
hisI	Histidine biosynthesis bifunctional protein HisIE	63
cdgJ_1	Cyclic di-GMP phosphodiesterase CdgJ	63
fetB	putative iron export permease protein FetB	63
galA	hypothetical protein	63
group_7047	hypothetical protein	63
atoS	Signal transduction histidine-protein kinase AtoS	63
fliP_2	hypothetical protein	63
crl	Sigma factor-binding protein Crl	63
group_7057	hypothetical protein	63
group_7058	hypothetical protein	63
dadA1_2	D-amino acid dehydrogenase 1	63
der	GTPase Der	63
iscX	Protein IscX	63
tgt	Queuine tRNA-ribosyltransferase	63
group_7074	hypothetical protein	63
aceB	Malate synthase A	63
pstB	Phosphate import ATP-binding protein PstB	63
group_7078	hypothetical protein	63
yqjC	Protein YqjC	63
group_7080	hypothetical protein	63
rcsC_1	Sensor histidine kinase RcsC	63
mhqP	Putative oxidoreductase MhqP	63
group_7083	hypothetical protein	63
group_7084	hypothetical protein	63
menH_1	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	63
group_7093	hypothetical protein	63
group_7094	hypothetical protein	63
tamA	Translocation and assembly module subunit TamA	63
ytfP	Gamma-glutamylcyclotransferase family protein YtfP	63
yfbR	5'-deoxynucleotidase YfbR	63
glpG_1	Rhomboid protease GlpG	63
ppiD	Peptidyl-prolyl cis-trans isomerase D	63
hupB	DNA-binding protein HU-beta	63
selO	Protein adenylyltransferase SelO	63
group_7104	hypothetical protein	63
group_7105	hypothetical protein	63
mdh	Malate dehydrogenase	63
rpmA	50S ribosomal protein L27	63
yjjP	Inner membrane protein YjjP	63
lptD	LPS-assembly protein LptD	63
pykF	Pyruvate kinase I	63
czcR	Transcriptional activator protein CzcR	63
ubiH	2-octaprenyl-6-methoxyphenol hydroxylase	63
group_7121	putative Fe(2 )-trafficking protein	63
rssB_1	Regulator of RpoS	63
cqsS	CAI-1 autoinducer sensor kinase/phosphatase CqsS	63
aaaT_2	hypothetical protein	63
leuO_3	HTH-type transcriptional regulator LeuO	63
group_7132	hypothetical protein	63
group_7134	hypothetical protein	63
group_7136	hypothetical protein	63
grxD	Glutaredoxin 4	63
group_7138	hypothetical protein	63
group_7139	hypothetical protein	63
group_7140	hypothetical protein	63
yeaD	Putative glucose-6-phosphate 1-epimerase	63
mscS_1	hypothetical protein	63
group_7143	hypothetical protein	63
ybaN	Inner membrane protein YbaN	63
purF	Amidophosphoribosyltransferase	63
truA	tRNA pseudouridine synthase A	63
asd2	Aspartate-semialdehyde dehydrogenase 2	63
mlaA	Intermembrane phospholipid transport system lipoprotein MlaA	63
group_7153	hypothetical protein	63
malT_4	HTH-type transcriptional regulator MalT	63
yihD	Protein YihD	63
group_7160	hypothetical protein	63
yidC	Membrane protein insertase YidC	63
dnaA	Chromosomal replication initiator protein DnaA	63
yigZ	IMPACT family member YigZ	63
bfd	Bacterioferritin-associated ferredoxin	63
argB	Acetylglutamate kinase	63
oxyR_4	Hydrogen peroxide-inducible genes activator	63
group_7175	hypothetical protein	63
pspG	Phage shock protein G	63
uhpT	Hexose-6-phosphate:phosphate antiporter	63
modA	Molybdate-binding protein ModA	63
modC	Molybdenum import ATP-binding protein ModC	63
oprF_4	Peptidoglycan-associated lipoprotein	63
dgcT_2	hypothetical protein	63
glyA2	Serine hydroxymethyltransferase 2	63
ttgG	Solvent efflux pump periplasmic linker SrpA	63
group_7205	hypothetical protein	63
group_7206	hypothetical protein	63
putA	Bifunctional protein PutA	63
hisQ	Histidine transport system permease protein HisQ	63
ydaF_2	Putative ribosomal N-acetyltransferase YdaF	63
thiK	Thiamine kinase	63
group_7213	hypothetical protein	63
group_7214	hypothetical protein	63
udp_2	Uridine phosphorylase	63
brnQ_1	Branched-chain amino acid transport system 2 carrier protein	63
group_7227	HTH-type transcriptional activator RhaR	63
yflN	hypothetical protein	63
emrD	Multidrug resistance protein D	63
group_7254	hypothetical protein	63
nucA	Nuclease	63
rlpA	Endolytic peptidoglycan transglycosylase RlpA	63
ygaZ_1	hypothetical protein	63
amyS	Alpha-amylase	63
group_7263	hypothetical protein	63
group_7264	hypothetical protein	63
group_7266	hypothetical protein	63
group_7271	hypothetical protein	63
group_7276	hypothetical protein	63
toxS	Transmembrane regulatory protein ToxS	63
group_7279	hypothetical protein	63
ybfF	Esterase YbfF	63
rng	Ribonuclease G	63
nit1	Deaminated glutathione amidase	63
group_7291	hypothetical protein	63
pldA_2	Phospholipase A1	63
group_7334	hypothetical protein	63
group_7335	hypothetical protein	63
tusD	Sulfurtransferase TusD	63
cat_1	Chloramphenicol acetyltransferase	63
group_742	hypothetical protein	63
group_7492	hypothetical protein	63
nodD2_2	Nodulation protein D 2	63
cysW_1	hypothetical protein	63
holC	DNA polymerase III subunit chi	63
tsaC	Threonylcarbamoyl-AMP synthase	63
mdtL_3	Multidrug resistance protein MdtL	63
group_755	hypothetical protein	63
fabF_1	3-oxoacyl-[acyl-carrier-protein] synthase 2	63
secD_2	Protein translocase subunit SecD	63
group_7633	hypothetical protein	63
phoB_2	hypothetical protein	63
gshA	Glutamate--cysteine ligase	63
group_7690	hypothetical protein	63
group_7701	hypothetical protein	63
nasD_2	Nitrite reductase [NAD(P)H]	63
czcD	Cadmium, cobalt and zinc/H( )-K( ) antiporter	63
argE	Acetylornithine deacetylase	63
group_8093	hypothetical protein	63
srkA	Stress response kinase A	63
group_820	hypothetical protein	63
hscA_2	Chaperone protein HscA	63
frp	NADPH-flavin oxidoreductase	63
dnaX	hypothetical protein	63
group_8256	hypothetical protein	63
rlmI_1	Ribosomal RNA large subunit methyltransferase I	63
group_8289	hypothetical protein	63
nagK	N-acetyl-D-glucosamine kinase	63
psaA_1	hypothetical protein	63
group_847	hypothetical protein	63
group_849	hypothetical protein	63
group_850	hypothetical protein	63
resA	Thiol-disulfide oxidoreductase ResA	63
napC_2	Cytochrome c-type protein NapC	63
bmrA	Putative multidrug export ATP-binding/permease protein	63
group_883	hypothetical protein	63
group_887	Beta-barrel assembly-enhancing protease	63
group_898	Putative 2-hydroxyacid dehydrogenase	63
kdpD	Sensor protein KdpD	63
group_923	hypothetical protein	63
pcp	Pyrrolidone-carboxylate peptidase	63
group_941	hypothetical protein	63
group_942	hypothetical protein	63
malT_3	HTH-type transcriptional regulator MalT	63
group_952	hypothetical protein	63
fabG_3	3-oxoacyl-[acyl-carrier-protein] reductase FabG	63
group_959	hypothetical protein	63
tam_2	hypothetical protein	63
group_962	hypothetical protein	63
